SName,Lyric,Artist,Genres
This Is How We Roll,"This is how we roll
We stay in the street
And get it all week cause
This is how we roll
We gotta get out
Can't stay in the house cause
The party don't end
Every weekend
Turn up baby burn up
Again and again
This is how we roll
We rolling we rolling we rolling

Everybody in the party
If you came here to party
Better move your body
Damn look at that body
Everybody in here
Put your hands in the air
Wave em like you don't care
Let me hear you say yeah

This place is jumping
We keep it bumping
The boys keep watching
Wanna leave with something
We making it clap
Clap clap clap clap
We don't need hands for that
That that that that

This is how we roll
We stay in the street
And get it all week cause
This is how we roll
We gotta get out
Can't stay in the house cause
The party don't end
Every weekend
Turn up baby burn up
Again and again
This is how we roll
We rolling we rolling we rolling

Get wild and crazy
If you wanna get crazy
So free so young
So you can't blame me, yup
Let's get this clear
All the boys over there
Keep looking over here
But we don't care

This place is jumping, hey
We keep it bumping, hey
The boys keep watching, hey
Wanna leave with something, hey
We making it clap
Clap clap clap clap
We don't need hands fot that
That that that that

This is how we roll
We stay in the street
And get it all week cause
This is how we roll
We gotta get out
Can't stay in the house cause
The party don't end
Every weekend
Turn up baby burn up
Again and again
This is how we roll
We rolling we rolling we rolling

Pull your camera out
Cause someone's
Ganna wanna see this
Take a picture snap it
Aye, post it for the world
Cause when we going out
We run the town
Better belive it
We'll be sexy sexy
Me and my girls, girls, girls
This is how we roll

This is how we roll
We stay in the street
And get it all week cause
This is how we roll
We gotta get out
Can't stay in the house cause
The party don't end
Every weekend
Turn ip baby burn up
Again and again
This is how we roll
We rolling we rolling we rolling",Fifth Harmony,Pop
Top Down,"Blaze it up and we'll be cruisin' with the top down
Rev up the engine we'll be cruisin' watch it go down
Get in my truck
And I'll be ridin' with my top down
With my top down
My top down

From a small town cruisin' thru the big city
Where the fellas are cute and the girls are pretty
It's our world so you know it's going down
I ain't got a lotta money but I got a lotta style
What what

Blaze it up and we'll be cruisin' with the top down
Rev up the engine we'll be cruisin' watch it go down
Get in my truck
And I'll be ridin' with my top down
With my top down
My top down

Electric city
Baby you're mine tonight
Electric city
Don't you shine bright
Electric city
Baby you light the way
Electric city
I think that I might stay

Passed out real and I woke up realer
(Hey, hey, hey, hey, hey)
Me and my clique goin' hard and you feel us
(Hey, hey, hey, hey, hey)
Come on let me take you for a ride
I ain't got a lot of money but I got a lotta style
What what


Blaze it up and we'll be cruisin' with the top down
Rev up the engine we'll be cruisin' watch it go down
Get in my truck
And I'll be ridin' with my top down
With my top down
My top down",Fifth Harmony,Pop
"Uptown Funk (Feat. Jasmine V., Jacob Whitesides & Mahogany Lox)","Fifth Harmony yeah
Here we go

This hit, that ice cold
Michelle Pfeiffer, that white gold
This one for them hood girls
Them good girls straight masterpieces
Stylin', whilen
Livin' it up in the city
Got Chucks on with Saint Laurent
Got kiss myself, I'm so pretty

I'm too hot (hot damn)
Called a police and a fireman
I'm too hot (hot damn)
Make a dragon wanna retire man
I'm too hot (hot damn)
Say my name you know who I am
I'm too hot (hot damn)
Am I bad 'bout that money
Break it down

Girls hit you hallelujah (whoo)
Girls hit you hallelujah (whoo)
Girls hit you hallelujah (whoo)
'Cause uptown funk gon' give it to you
'Cause uptown funk gon' give it to you
'Cause uptown funk gon' give it to you
Saturday night and we in the spot
Don't believe me just watch

Don't believe me just watch
Hey yo just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Hey, hey, hey, oh

Jasmine V. Yeah
Fill my cup, put some liquor in it
Take a sip, sign a check
Julio, get the stretch
Ride to Harlem, Hollywood, Jackson, Mississippi
If we show up, we gon' show out
Smoother than a fresh dry skippy
Mahogany Lox

I'm too hot (hot damn)
Called a police and a fireman
I'm too hot (hot damn)
Make a dragon wanna retire man
I'm too hot (hot damn)
Say my name you know who I am
I'm too hot (hot damn)
Am I bad 'bout that money
Break it down

Girls hit you hallelujah (whoo)
Girls hit you hallelujah (whoo)
Girls hit you hallelujah (whoo)
'Cause uptown funk gon' give it to you
'Cause uptown funk gon' give it to you
'Cause uptown funk gon' give it to you
Saturday night and we in the spot
Don't believe me just watch

Don't believe me just watch
Hey yo just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Hey, hey, hey, oh

Jacob Whitesides
Before we leave
Imma tell y'all a lil' something
Uptown funk you up
Uptown funk you up
Uptown funk you up
Uptown funk you up
I beter see you funk you up
Uptown funk you up
Uptown funk you up
Uptown funk you up

Dance
Jump on it
If you sexy than flaunt it
If you freaky than own it
Don't brag about it, come show me

Dance
Jump on it
If you sexy than flaunt it
It's saturday night and we in the spot
Don't believe me just watch

Uptown funk you up
Uptown funk you up
I beter see you funk
Uptown funk you up
Uptown funk you up
I beter see you funk
Uptown funk you up
Uptown funk you up",Fifth Harmony,Pop
Voicemail,"You have reached
A phone number that is
No longer in service for you
So don't wait for me to call you back
Cause I ain't doing to bad
Not thinking bout you

Shake it shake it shake it
Shake it shake it shake it
All my single ladies
Shake it shake it shake it
Shake it shake it shake it
All my pretty ladies

Way up
Way up
The club is going up
And I ain't thinking bout you
Stay up
Stay up
My girls are getting down you
Can watch us on the news
You keep on calling, you keep on calling
I ignore it, I ignore it
You keep on calling, you keep on calling
Let my voicemail answer for me

You have reached
A phone number
That is no longer in service for you
So don't wait for me to call you back
Cause I ain't doing to bad
I ain't thinking bout you
You have reached
A phone number of an ex lover
You should probably lose
Its time that you start
Dealing with the facts
Cause I ain't doing to bad
Not thinking bout you

Shake it shake it shake it
Shake it shake it shake it
All my single ladies
Shake it shake it shake it
Shake it shake it shake it
All my pretty ladies

Say what
Say what
Got everything I need
And it don't include you
Way up
Way up
You never seen a booty move it like mine do
Bounce, bounce, bounce, bounce (let's go)
You keep on calling, you keep on calling
I ignore it, I ignore it
You keep on calling, you keep on calling
Let my voicemail answer for me

You have reached
A phone number
That is no longer in service for you
So don't wait for me to call you back
Cause I ain't doing to bad
I ain't thinking bout you
You have reached
A phone number of an ex lover
You should probably lose
Its time that you start
Dealing with the facts
Cause I ain't doing to bad
Not thinking bout you

Shake it shake it shake it
Shake it shake it shake it
All my single ladies
Shake it shake it shake it
Shake it shake it shake it
All my pretty ladies

Ayo
I won't need time for you
""I'm sorry"" just won't do
It's to late boy I'm through
Oh
Ayo, let me do you a favor
No you won't see me later
If you call on my yeah

You have reached
A phone number
That is no longer in service for you
So don't wait for me to call you back
Cause I ain't doing to bad
I ain't thinking bout you
You have reached
A phone number of an ex lover
You should probably lose
Its time that you start
Dealing with the facts
Cause I ain't doing to bad
I ain't thinking bout you",Fifth Harmony,Pop
Want U Back/With Ur Love,"Hey, boy you never had much game
Thought I needed to upgrade
So I went and walked away way way
Now, I see you've been hanging out
With that other girl in town
Looking like a pair of clowns, clowns, clowns

Remember all the things that you and I did first?
And now you're doing them with her
Remember all the things that you and I did first?
You got me, got me like this
And now you're taking her to every restaurant
And everywhere we went, come on!
And now you're taking her to every restaurant
You got me, got me like this

Boy you can say anything you wanna
I don't give a shh, no one else can have ya
I want you back
I want you back
I feel like I'm on top of the world with your love
I broke it off thinking you'd be cryin'
Now I feel like shh looking at you flyin'
I want you back
I want you back
I feel like I'm on top of the world with your love

Uhh... I thought you'd still be mine
When I kissed you goodbye uh oh uh oh
Uhh... and you might be with her
But I still had you first uh oh uh oh

Boy you can say anything you wanna
I don't give a shh, no one else can have ya
I want you back
I want you back
I feel like I'm on top of the world with your love
I broke it off thinking you'd be cryin'
Now I feel like shh looking at you flyin'
I want you back
I want you back
I feel like I'm on top of the world with your love
I want I want you back",Fifth Harmony,Pop
We Are Never Ever Getting Back Together,"I remember when we broke up, the first time
Saying ""this is it I've had enough""
'cause like we hadn't seen each other in a month
When you said you needed space...
Then you come around again and say
""baby, I miss you and I swear I'm gonna change
Remember how that lasted for a day?
I say ""I hate you"", we break up,
You call me, ""I love you""
Uuh-uh-uh--uh-uh...
How did I forget that night
But uuh-uh-uh--uh-uh...
This time I'm telling you
I'm telling you,

We are never ever ever getting back together
We-eeee
Are never ever ever getting back together
You go talk to your friends
Talk to my friends talk to me
But we-eeee
Are never ever ever ever getting back together

I'm really gonna miss you picking fights
And me falling for it, screaming that I'm right
And you would hide away and find your piece of mind
With some indie record
That's much cooler than mine
Uuh-uh-uh--uh-uh...
How did I forget that night
But uuh-uh-uh--uh-uh...
This time I'm telling you
I'm telling you,

We are never ever ever getting back together
We-eeee
Are never ever ever getting back together
You go talk to your friends
Talk to my friends talk to me
But we-eeee
Are never ever ever ever getting back together",Fifth Harmony,Pop
We Know,"Same words, same thirst
Just a different name
Same jokes, same laughs
Guess that's just your game

You gotta have her
The same way you gotta have me
You show me everything I need to see

Well even though you're so damn fine
I know I'm better off without ya
Even if you cross my mind
I will always have to doubt ya

I won't believe a thing you say this time
All them other girls told me
How you play your game
Yeah we know all about you
I know it probably worked for you last time
But them other girls told me
How you play your game
Yeah we know all about you

Ooh we know, we know, we know
We know, we know, we know
Yeah all about you
Ooh we know we know we know
We know we know we know
Yeah all about you

First off you should really be ashamed
You won't entice me with that big 'ol chain
Can't have my number put that phone away
Maybe you should just stay in your lane

Well even though you're so damn fine
I know I'm better off without ya
Even if you cross my mind
I will always have to doubt ya

I won't believe a thing you say this time
All them other girls told me
How you play your game
Yeah we know all about you
I know it probably worked for you last time
But them other girls told me
How you play your game
Yeah we know all about you

(Oh no no know)
We know, we know, we know
We know, we know, we know (know oh oh)
(Yeah) yeah all about you (yeah)
Ooh we know we know we know
Ah ah yeah ah ah ah

I won't believe a thing you say this time
All them other girls told me
How you play a game
Yeah we know all about you",Fifth Harmony,Pop
When I Was Your Man (Feat. Boyce Avenue),"Same bed
But it feels Just a little bit bigger now
Our song on the radio
But it don't sound the same
When our friends talk about you
All that it does is just tear me down
Cause my heart breaks a little
When I hear your name

And all just sounds like
Ooh, ooh, ooh, ooh, ooh

Too young, too dumb to realize
You should have bought me flowers
And held my hand
Should've give you all my hours
When I had the chance
Take me to every party
Cause all I wanted to do was dance
Now my baby is dancing,
But she's dancing
With another man

your pride, your ego
your needs and your selfish ways
Caused a good strong woman like me
To walk out your life
Now you never,
Never get to clean up
The mess you made
And it hurts me
Every time I close my eyes

It all just sounds like
Ooh, ooh, ooh, ooh, ooh

Too young, to dumb to realize
You should have bought me flowers
And held my hand
Should've give you all my hours
When I had the chance
Take me to every party
Cause all I wanted to do was dance
Now my baby is dancing,
But she's dancing
With another man

Although it hurts
I'll be the first to say that I was wrong
Oh, I know It's probably much too late
To try and apologize for your mistakes
So I just want you to know

I hope he buys me flowers,
I hope he holds my hand
Gives me all his hours,
When he has the chance
Take you to every party
Cause I remember
How much you loved to dance
Do all the things you should've done
When you were my man

Do all the things you should have done
When you were my man

Do all the things I should have done
When I was your man",Fifth Harmony,Pop
Who Are You,"Monday, you sent me flowers
Tuesday, made me feel stupid
Wednesday, the world was ours
Thursday, you didn't prove it
Friday, fell back in love
Saturday, we didn't talk
Sunday, you said you needed space

Do you miss me?
Am I crazy?
Am I losing hold of your love baby?
Either you want me or you don't
I need to know
I need to know

Who are you today?
Will you be the sun or the pouring rain?
Who are you tomorrow?
Will you make me smile or just bring me sorrow?
Who are you gonna be when I'm lost and I'm scared?
Who are you gonna be when there's nobody there?
Who are you today?
'Cause I am still the same

Monday, you had my heart
Tuesday, you had me screaming
Wednesday, we didn't part
Thursday, you didn't mean it
Friday, I shook it off
Saturday, you got it wrong
Sunday, I said I needed space

Do you miss me?
Am I crazy?
Am I losing hold of your love baby?
Either you want me or you don't
I need to know
I need to know

Who are you today?
Will you be the sun or the pouring rain?
Who are you tomorrow?
Will you make me smile or just bring me sorrow?
Who are you gonna be when I'm lost and I'm scared?
Who are you gonna be when there's nobody there?
Who are you today
'Cause I am still the same

It's so strange how the same face
Can make you feel so right then bring you so much pain
It's so strange how the same face
Can make you love until it hurts
Where do we go?
I need to know

Who are you today?
Will you be the sun or the pouring rain?
Who are you tomorrow?
Will you make me smile or just bring me sorrow?
Who are you gonna be when I'm lost and I'm scared?
Who are you gonna be when there's nobody there?
Who are you today
'Cause I am still the same",Fifth Harmony,Pop
Who Are You (Acoustic),"Monday, you send me flowers
Tuesday, made me feel stupid
Wednesday, the world was ours
Thursday, we didn't move
Friday, fell back in love
Saturday, we didn't talk
Sunday, you said you needed space

Do you miss me?
Am I crazy?
Am I losing hold of all of you baby?
Either you want me or you don't
I need to know
I need to know

Who are you today?
Will you be the sun or the pouring rain?
Who are you tomorrow?
Will you make me smile or just bring me sorrow?
Who are you gonna be when I'm lost and I'm scared?
Who are you gonna be when there's nobody there?
Who are you today?
'Cause I am still the same

Monday, you had my heart
Tuesday, you had me screaming
Wednesday, we didn't part
Thursday, you didn't mean it
Friday, I shook it off
Saturday, you got it wrong
Sunday, I said I needed space

Do you miss me?
Am I crazy?
Am I losing hold of all of you baby?
Either you want me or you don't
I need to know
I need to know

Who are you today?
Will you be the sun or the pouring rain?
Who are you tomorrow?
Will you make me smile or just bring me sorrow?
Who are you gonna be when I'm lost and I'm scared?
Who are you gonna be when there's nobody there?
Who are you today
'Cause I am still the same

It's so strange how the same face
Can make you feel so right and bring you so much pain
It's so strange how the same face
Can make you love until it hurts
Where do we go?
I need to know

Who are you today?
Will you be the sun or the pouring rain?
Who are you tomorrow?
Will you make me smile or just bring me sorrow?
Who are you gonna be when I'm lost and I'm scared?
Who are you gonna be when there's nobody there?
Who are you today
'Cause I am still the same",Fifth Harmony,Pop
Who Are You (Bit Error Remix),"Monday, you send me flowers
Tuesday, made me feel stupid
Wednesday, the world was ours
Thursday, we didn't move
Friday, fell back in love
Saturday, we didn't talk
Sunday, you said you needed space

Do you miss me?
Am I crazy?
Am I losing hold of all of you baby?
Either you want me or you don't
I need to know
I need to know

Who are you today?
Will you be the sun or the pouring rain?
Who are you tomorrow?
Will you make me smile or just bring me sorrow?
Who are you gonna be when I'm lost and I'm scared?
Who are you gonna be when there's nobody there?
Who are you today?
'Cause I am still the same

Monday, you had my heart
Tuesday, you had me screaming
Wednesday, we didn't part
Thursday, you didn't mean it
Friday, I shook it off
Saturday, you got it wrong
Sunday, I said I needed space

Do you miss me?
Am I crazy?
Am I losing hold of all of you baby?
Either you want me or you don't
I need to know
I need to know

Who are you today?
Will you be the sun or the pouring rain?
Who are you tomorrow?
Will you make me smile or just bring me sorrow?
Who are you gonna be when I'm lost and I'm scared?
Who are you gonna be when there's nobody there?
Who are you today
'Cause I am still the same

It's so strange how the same face
Can make you feel so right and bring you so much pain
It's so strange how the same face
Can make you love until it hurts
Where do we go?
I need to know

Who are you today?
Will you be the sun or the pouring rain?
Who are you tomorrow?
Will you make me smile or just bring me sorrow?
Who are you gonna be when I'm lost and I'm scared?
Who are you gonna be when there's nobody there?
Who are you today
'Cause I am still the same",Fifth Harmony,Pop
Worth It (No Rap),"Give it to me, I'm worth it
Baby I'm worth it
Uh huh I'm worth it
Gimme gimme I'm worth it
Give it to me, I'm worth it
Baby I'm worth it
Uh huh I'm worth it
Gimme gimme I'm worth it

Just gimme you, just gimme you
Just gimme you, that's all I wanna do
And if what they say is true
If it's true, I won't get mad at you
I may talk a lot of stuff
Guaranteed, I can back it up
I think I'mma call your bluff
Hurry up, I'm walkin' out front

Uh huh you see me in the spot like
""ooh I love your style""
Uh huh show me what you got
'cause I don't wanna waste my time
Uh huh see me in the spot like
""ooh I love your style""
Uh huh show me what you got
Now come and make it worth my while

Give it to me, I'm worth it
Baby I'm worth it
Uh huh I'm worth it
Gimme gimme I'm worth it
Give it to me, I'm worth it
Baby I'm worth it
Uh huh I'm worth it
Gimme gimme I'm worth it

It's all on you, it's all on you
It's all on you, so what you wanna do?
And if you don't have a clue
Not a clue, I'll tell you what to do
Come harder just because
I don't like it, like it too soft
I like it a little rough
Not too much, but maybe just enough

Uh huh you see me in the spot like
""ooh I love your style""
Uh huh show me what you got
'cause I don't wanna waste my time
Uh huh see me in the spot like
""ooh I love your style""
Uh huh show me what you got
Now come and make it worth my while

Give it to me, I'm worth it
Baby I'm worth it
Uh huh I'm worth it
Gimme gimme I'm worth it
Give it to me, I'm worth it
(know what I mean?)
Baby I'm worth it (give me everything)
Uh huh I'm worth it
Gimme gimme I'm worth it

Uh huh you see me in the spot like
""ooh I love your style""
Uh huh show me what you got
'cause I don't wanna waste my time
Uh huh see me in the spot like
""ooh I love your style""
Uh huh show me what you got
Now come and make it worth my while

Give it to me, I'm worth it
Baby I'm worth it
Uh huh I'm worth it
Gimme gimme I'm worth it
Give it to me, I'm worth it
(know what I mean?)
Baby I'm worth it (give me everything)
Uh huh I'm worth it
Gimme gimme I'm worth it

Give it to me, I'm worth it",Fifth Harmony,Pop
Write On Me (IcyFl4me Remix),"Pick up the pen, put it on the paper
Write on my skin, bring me to life
Can't start again, there ain't no eraser
All of my flaws, you got them so right

Everything is blank until you draw me
Touching on my body like you know me

Write on me
Color outside the lines
Love the way you tat me up
Baby take your time
Write on me
Give me some wings, I'll fly
Love the way you tat me up
I'll never change my mind

You are my friend, straight and no chaser
Burns going down but it keeps me alive
Tell me the truth, I like the danger
Cause in the end you will be mine

Everything is gray until you draw me
Touching on my body like you know me

Write on me
Color outside the lines
Love the way you tat me up
Baby take your time
Write on me
Give me some wings, I'll fly
Love the way you tat me up
I'll never change my mind",Fifth Harmony,Pop
You Are Not Alone,"Another day has gone
I'm still all alone
How could this be?
You're not here with me

You never said good-bye
Someone tell me why
Did you have to go?
And leave my world so cold?

Every day I sit and ask myself
How did love slip away?
Something whispers
In my ear and says:

That you are not alone
I am here with you
Though you're far away
I am here to stay

You are not alone
I am here with you
Though we're far apart
You're always in my heart

You are not alone

Just the other night
I thought I heard you cry
Asking me to come
And hold you in my arms

I can hear your prayers
Your burdens I will bear
But first I need your hand
Then forever can begin

Every day I sit and ask myself
How did love slip away?
Something whispers
In my ear and says:

But you are not alone
I am here with you
Though you're far away
I am here to stay

You are not alone
I am here with you
Though we're far apart
You're always in my heart

You are not alone

Oh, whisper three words
And I'll come running
And boy you know
That I'll be there, I'll be there

But you are not alone
We are here for you
Though you're far away
We are here to stay

You are not alone
We are here for you
Though we're far apart
You're always in my heart

You are not alone
(You are not)
You are not alone",Fifth Harmony,Pop
Young and Beautiful,"We are, we are, the young and the beautiful
We're alive tonight, tonight

Flying high like an airplane
Burning stars in the Milky Way
I'm tired cause we never say
Never, never, no no
Lovers come and haters go
Won't be left out in the cold
In the dark where you always glow
Always, always oh, always, always oh

We are, we are, the young and the beautiful
We are, we are, the fearless, the world is yours
We are, we are, the young and the beautiful
We're alive tonight, tonight

Hang with me and we're figure by
That's forever and a whole new life
And we're alive cause we never cry
Never, never oh
We're running up so we don't back down
When our hearts are beating loud
Sing along to the booming sound
Always, always

We are, we are, the young and the beautiful
We are, we are, the fearless, the world is yours
We are, we are, the young and the beautiful
We're alive tonight, tonight

This one goes out to the dreamers
All the hopers and the lovers
Cause as long as we're believers
We're alive, tonight

We are, we are, the young and the beautiful
We are, we are, the fearless, the world is yours
We are, we are, the young and the beautiful
We're alive tonight, tonight
We are, we are, the young and the beautiful
We are, we are, the fearless, the world is yours
We are, we are, the young and the beautiful
We're alive tonight, tonight",Fifth Harmony,Pop
Back For Good,"I guess now it's time for me to give up
I feel it's time
Got a picture of you beside me
Got your lipstick mark still on your coffee cup
Got a fist of pure emotion
Got a head of shattered dreams
Gotta leave it, gotta leave it all behind now

Whatever I said, whatever I did I didn't mean it
I just want you back for good
Whenever I'm wrong just tell me the song and I'll sing it
You'll be right and understood

Unaware but underlined I figured out the story
It wasn't good
But in the corner of my mind I celebrated glory
But that was not to be
In the twist of separation you excelled at being free
Can't you find a little room inside for me

Whatever I said, whatever I did I didn't mean it
I just want you back for good
Whenever I'm wrong just tell me the song and I'll sing it
You'll be right and understood

And we'll be together, this time is forever
We'll be fighting and forever we will be
So complete in our love
We will never be uncovered again",Take That,Pop
Never Forget,"We´ve come so far
and we´re reached so high
and we´re looked each day
and night in the eye
and we´re still so young
and we hope for more

We've come a long way
but we´ve not to sure
where we´ve been
We've had success
We've had good times
But remember this

Been on this path of life for so long
Feel I've walked a thousand miles
Sometimes strolled hand in hand with love
Everybody's been there
With danger on my mind I would stand on the line of
hope
I knew I could make it
Once I knew the boundaries I looked into the clouds
and saw
My face in the moonlight
Just then I realised what a fool I could be
Just coz I look so high I don't have to see me
Finding a paradise wasn't easy but still
There's a road going down the other side of this hill

Never forget where you've coming from
Never pretend that it's all real
Someday soon this will all be someone else's dream

Been safe from the arms of disappointment for so long
Feel each day we've come too far
Yet each day seems to make much more
Sure is good to be here
I understand the meaning of ""I can't explain this
feeling""
Now it feels so unreal
At night I see the hand that reminds meof the stand I
make
The fact of reality

(chorus)

We've come so far, and we've reached so high
And we've looked each day and night in the eye
And we're still so young and we hope for more
But remember this
We're not invincible, we're not invincible - no
We're only people, we're only people
Hey we're not invincible, we're not invincible
So again I'll tell you

(chorus)",Take That,Pop
Patience,"Just have a little, patience

I'm still hurting from a love I lost,
I'm feeling your frustration,
But any minute all the pain will stop,
Just hold me close inside your arms tonight,
don't be too hard on my emotions

(Chorus)
Cause I, need time,
My heart is numb has no feeling,
So while I'm still healing,
Just try and have a little patience,

I really wanna start over again,
I know you wanna be my salvation,
The one that I can always depend,

I'll try to be strong, believe me,
I'm trying to move on,
It's complicated but understand me,

Cause I need time,
My heart is numb has no feeling,
So while I'm still healing,
Just try and have a little patience,

Yeah, have a little patience, Yeah

Cause this scar runs so deep,
It's been hard,
But I have to believe

Have a little patience,
Have a little patience,

Cause I, I just need time,
My heart is numb has no feeling,
So while I'm still healing,
just try, and have a little patience,

Have a little patience,
My heart is numb has no feeling,
So while I'm still healing
just try and have a little... Patience",Take That,Pop
How Deep Is Your Love?,"And when you rise in the morning sun
I feel your touch my hand in the pouring rain
And the moment that you wander far from me
I wanna feel you in my arms again
And you come to me on the summer breeze
Keep me warm in your love then you softly leave

Chorus:

And it's me you need to show
How deep is your love?
How deep is your love?
How deep is your love?
I really need to learn
'Cause we're living in a world of fools
Breaking us down
When they all should let us be
We belong to you and me

I believe in you
You know you're the door to my very soul
You are the light in my deepest darkest hour
And you are my saviour when I fall
And you may not think
That I care for you
When you know down inside that I really do

(Repeat Chorus)

You are the light
And you may not think
That I care for you
When you know down inside that I really do

(Repeat Chorus)
",Take That,Pop
These Days,"Oh I can see the future
Coming to you
Crying with the sadness in your eyes
And I can find a faith in years I've wasted
Being around enough to feel alive
And when the world is broken, hurt and colder
No one ever knows the reason why

For the ones we may become
For the balance we have won
For the day we wish the sun
Gonna play it loud tonight
When you dream of a dream
And you live in the world
Every hope is a hope
For the best don't want you resting my bones
And you're calling me now
I will see you all the time
Should be out there living the life
And not just watching you

Take me back
Before we all explode
Before we turn to stone
Before the light is gone
Take me back
To where it all began
To where our memories grow
Before the day goes off
Tonight we gotta live for
We gotta live for these days
Tonight, tonight, we'll remember
We'll remember these days

What a day to believe
To believe in the night
Want a date to belong
To a face in the crowd to the beat of your heart
And the moment begin
And you're working it out
And you're holding us all
In your hands, don't want you waiting for

Take me back
Before we lose control
Before the tables turn
Before we break it off
Take me back
To where it all began
To where our memories grow
Before they take us off

Tonight we gotta live for
We gotta live for these days
Tonight, tonight, we'll remember
We'll remember these days

Oh I can see the future
Coming to you
Crying with the sadness in your eyes
And I can find a faith in years I've wasted
Being around enough to feel alive
And when the world is broken, hurt and colder
No one ever knows the reason why
For the ones we may become
For the balance we have won
For the day we wish the sun
Gonna play it loud tonight

Tonight we gotta live for
We gotta live for these days
Tonight, tonight, we'll remember
We'll remember these days
Tonight, tonight, we gotta live for
We gotta live for these days
Tonight, tonight, we'll remember
We'll remember these days

Oh oh oh oh
Oh oh oh oh
Oh oh oh oh
These days

Oh oh oh oh
Oh oh oh oh
Oh oh oh oh
These days

Oh oh oh oh
Oh oh oh oh
Oh oh oh oh
These days",Take That,Pop
Pretty Things,"Dumb down, let your crazy out
Boys go crazy over you
Grip like a New York window cleaner
Just staring at you
Youth don’t leave me
Hair stay on me
God I love those hips
Oh memory don’t for sake me
Not like this

All those pretty things
Don’t sweat the pretty things
So collectable
Why not collect them all?
Obviously cunningly womanly
All those pretty things
God bless the pretty things

They’re still out there somewhere
Making men feel this way
At Fulham Broadway station
I see them everyday all day
Download a little meditation
It might pull you through
She blinded me with silence, anchored here with…

All those pretty things
Don’t sweat the pretty things
So collectable
Why not collect them all
Obviously cunningly womanly
All those pretty things
God bless the pretty things

All those pretty things
Don’t sweat the pretty things
So collectable
Why not collect them all
Obviously cunningly womanly
All those pretty things
God bless the pretty things

Did she talk like oooooh oooh ooh oh?
Will it feel like aaah ah ah ah?
Does she tell you what she wants?
Can you give her what she needs?

Youth don’t leave me
Hair stay on me
God I love those hips
Oh memory don’t forsake me
Not like this

All those pretty things
Don’t sweat the pretty things
So collectable
Why not collect them all?
Obviously cunningly womanly
All those pretty things
God bless the pretty things

All those pretty things
Don’t sweat the pretty things
So collectable
Why not collect them all?
Obviously cunningly womanly
All those pretty things
God bless the pretty things.

Uploaded by Hagentx.",Take That,Pop
Greatest Day,"Today this could be, the greatest day of our lives
Before it all ends, before we run out of time
Stay close to me, stay close to me
Watch the world come alive tonight
Stay close to me

Tonight this could be the greatest night of our lives
Let’s make a new start, The future is ours to find
Can you see it, can you see it in my eyes
Can you feel it now, can you hold it in your arms tonight
Hold on hold on, hold on hold on (tonight)
Hold on hold on

Stay close to me (hold on)
Stay close to me
Watch the world come alive tonight
stay closes me

Hold your head high (hold on)
Arms open wide
Yeah the world starts to come alive when you stay close it me

Today this could be the greatest day of our lives
Today this could be the greatest day of our lives

Oh and the world comes alive
And the world comes alive
And the would comes alive

Stay close to me (and the world comes alive) hold on
Stay close to me (and the world comes alive)
Watch the world come alive tonight stay close to me (hold on)
Stay cloes to me and the world comes alive
Stay close to me and the world comes alive
Watch the world come alive tonight (stay close to me)",Take That,Pop
A Million Love Songs,"Put your head against my life
What do you hear
A million words just trying to make
The love song of the year

Close your eyes, but don't forget
What you have heard
A man who´s trying to say a few words
Words that makes me scared

Chorus:
A million lovesongs later
And here I am trying to tell you
That I care
A million lovesongs later
And here I am

Look in to the future now
this is what I see
A million chances past me by
A million chances to hold you

Take me back - take me back
To were I use to be
And hide away from all my throughts
Through the light i see

Chorus

I missed a million, a million chances to love you
I missed a million, a million chances to show you that I care
I missed a million, a million chances too tough
So baby will you always be there

Chorus
",Take That,Pop
Get Ready For It,"Get ready for it
Get ready for it

You said, whatever you put out there
Whatever you put out there
Is gonna come back
You said, whenever you are ready
Whenever you are ready
Just let it all out

I know, cause the enemy inside me
Cause the enemy inside me
Is holding me back
But we know, there's something in the silence
There's something in the silence

Get ready for it
Get ready for it
You said there's only one place left to find
Together we can save the world tonight
Get ready for it

You said, every life is a lesson
Are you a fool or a kingsman
Cause only you know
Hold on, cause the volume is rising
Yeah the volume is rising
So you better hold on

The night is young
Until it's over, until it's over
The night is young
The night is ours
Until tomorrow, until tomorrow

Get ready for it
Yeah, get ready for it
You said there's only one place left to find
Together we can save the world tonight
Get ready for it
Get ready for it
Get ready for it
Get ready for it

The night is young
Until it's over, until it's over
The night is young
The night is ours
Until tomorrow, until tomorrow

Get ready for it
I'll hold your hand
With good intentions, with good intentions
I'll hold your hand
The night is ours
Until tomorrow, until tomorrow
You said there's only one place left to find
Together we can save the world tonight
Get ready for it
Get ready for it
Get ready for it
Get ready for it
Get ready for it",Take That,Pop
